t,n,e0,e1,e2,e3
75,1.0148537395317527,8.867153280442267,0.0,0.0,6.801739132523668
76,1.6122183645905697,7.867153280442267,0.0,0.0,7.390360528681145
77,2.56610763689818,7.867153280442267,0.0,0.0,7.982023105698034
78,2.999520158580731,7.867153280442267,0.0,0.0,7.982023105698034
79,2.513978455987535,9.426482035902742,0.0,0.0,7.982023105698034
80,1.5558873312924917,9.426482035902742,0.0,0.0,8.588345034256415
81,1.006111346076625,9.426482035902742,0.0,0.0,7.588345034256415
82,1.370112005725546,8.426482035902742,0.0,0.0,7.950134672220798
83,2.313228782433085,8.426482035902742,0.0,0.0,8.638484801820685
84,2.9683644611001854,8.426482035902742,0.0,0.0,8.921697462687726
85,2.7331903200732923,10.421348374312736,0.0,0.0,8.921697462687726
86,1.8239243800514129,10.421348374312736,0.0,0.0,9.536151787267329
87,1.0765415529959403,10.421348374312736,0.0,0.0,8.536151787267329
88,1.1781821633691774,9.421348374312736,0.0,0.0,8.536151787267329
89,2.0353983027336606,9.421348374312736,0.0,0.0,9.4268343132407
90,2.860069405812453,9.421348374312736,0.0,0.0,9.831998797249167
91,2.893996663600558,9.421348374312736,0.0,0.0,9.831998797249167
92,2.105987511751157,11.208837251014781,0.0,0.0,10.56834019773099
93,1.2205339303841953,11.208837251014781,0.0,0.0,9.56834019773099
94,1.0517178587300529,11.208837251014781,0.0,0.0,9.56834019773099
95,1.7547480145323457,10.208837251014781,0.0,0.0,10.006029040989933
96,2.683261714736121,10.208837251014781,0.0,0.0,10.535172651647462
97,2.983587745434345,10.208837251014781,0.0,0.0,10.535172651647462
98,2.379607739027522,11.564933806942047,0.0,0.0,10.535172651647462
99,1.426618128009577,11.564933806942047,0.0,0.0,11.066845771781356
100,1.0007931658136462,11.564933806942047,0.0,0.0,10.066845771781356
101,1.4936343588902412,10.564933806942047,0.0,0.0,10.55929636987863
102,2.4520257871783504,10.564933806942047,0.0,0.0,11.200947000492262
103,2.994826791358406,10.564933806942047,0.0,0.0,11.422315391892695
104,2.622988631442349,12.321045412054833,0.0,0.0,11.422315391892695
105,1.678377596837469,12.321045412054833,0.0,0.0,11.98274099035483
106,1.0294647164625153,12.321045412054833,0.0,0.0,10.98274099035483
107,1.2728574999191475,11.321045412054833,0.0,0.0,11.219167532774845
108,2.1847817445606674,11.321045412054833,0.0,0.0,11.935606132303421
109,2.926818505417785,11.321045412054833,0.0,0.0,12.275244983051111
110,2.816742606636317,13.533973887406738,0.0,0.0,12.275244983051111
111,1.9557573219149291,13.533973887406738,0.0,0.0,12.943464525292853
112,1.1354485513893917,13.533973887406738,0.0,0.0,11.943464525292853
113,1.1100043956331667,13.533973887406738,0.0,0.0,11.943464525292853
114,1.902818094106791,12.533973887406738,0.0,0.0,12.619293951274688
115,2.7849803886813103,12.533973887406738,0.0,0.0,13.08290226848938
116,2.9454353340247703,12.533973887406738,0.0,0.0,13.08290226848938
117,2.236661393364286,13.709420663055676,0.0,0.0,13.08290226848938
118,1.310302059064611,13.709420663055676,0.0,0.0,13.553391060579239
119,1.0180478309559164,13.709420663055676,0.0,0.0,12.553391060579239
120,1.6285958985619098,12.709420663055676,0.0,0.0,13.153115404604124
121,2.580611184212314,12.709420663055676,0.0,0.0,13.73767741074147
122,2.9988152247235798,12.709420663055676,0.0,0.0,13.73767741074147
123,2.4987131538963943,14.243695160555529,0.0,0.0,13.73767741074147
124,1.5400965093104086,14.243695160555529,0.0,0.0,14.33447266557584
125,1.0043130131108207,14.243695160555529,0.0,0.0,13.33447266557584
126,1.3839595408113436,13.243695160555529,0.0,0.0,13.712488804712166
127,2.3299908256737822,13.243695160555529,0.0,0.0,14.396057404057078
128,2.9726300672424077,13.243695160555529,0.0,0.0,14.671869323351991
129,2.7210377105017316,15.209820347211295,0.0,0.0,14.671869323351991
130,1.8065266079615316,15.209820347211295,0.0,0.0,15.279589277432041
131,1.069894049813238,15.209820347211295,0.0,0.0,14.279589277432041
132,1.1883966128632995,14.209820347211295,0.0,0.0,14.279589277432041
133,2.0530835871460584,14.209820347211295,0.0,0.0,15.198548998260891
134,2.8689657562142354,14.209820347211295,0.0,0.0,15.595942545302156
135,2.8859248164599483,14.209820347211295,0.0,0.0,15.595942545302156
136,2.0883686861040016,15.967119773597513,0.0,0.0,16.323859454585772
137,1.2095667932771113,15.967119773597513,0.0,0.0,15.323859454585772
138,1.057485545441749,15.967119773597513,0.0,0.0,15.323859454585772
139,1.7719477404991388,14.967119773597513,0.0,0.0,15.78880355717506
140,2.6960801312247415,14.967119773597513,0.0,0.0,16.310338346042638
141,2.9802396594403113,14.967119773597513,0.0,0.0,16.310338346042638
142,2.363171365373259,16.30077725759734,0.0,0.0,16.310338346042638
143,1.4122049928325935,16.30077725759734,0.0,0.0,16.834137685860878
144,1.001654639126082,16.30077725759734,0.0,0.0,15.834137685860878
145,1.5089784061015306,15.300777257597339,0.0,0.0,16.34062340175401
146,2.4677451620451336,15.300777257597339,0.0,0.0,16.975998137447274
147,2.9964691731217736,15.300777257597339,0.0,0.0,17.190252031734502
148,2.6090440218832924,17.02979074866763,0.0,0.0,17.190252031734502
149,1.6616666056757234,17.02979074866763,0.0,0.0,17.7447935636751
150,1.0253513519055053,17.02979074866763,0.0,0.0,16.7447935636751
151,1.2851235703708355,16.02979074866763,0.0,0.0,16.998143030648123
152,2.2021498814156537,16.02979074866763,0.0,0.0,17.71171356362045
153,2.933320523748862,16.02979074866763,0.0,0.0,18.043739393698452
154,2.8064005807754864,18.213550073823942,0.0,0.0,18.043739393698452
155,1.9380796627439427,18.213550073823942,0.0,0.0,18.704451254899023
156,1.1266880172253524,18.213550073823942,0.0,0.0,17.704451254899023
157,1.118215381185219,18.213550073823942,0.0,0.0,17.704451254899023
158,1.920451457125278,17.213550073823942,0.0,0.0,18.408961667510575
159,2.795824096527455,17.213550073823942,0.0,0.0,18.864777739379697
160,2.9395197317131485,17.213550073823942,0.0,0.0,18.864777739379697
161,2.2194252583790046,18.369228989916547,0.0,0.0,19.6586135393986
162,1.2975922144226288,18.369228989916547,0.0,0.0,18.6586135393986
163,1.0215496492066203,18.369228989916547,0.0,0.0,19.445879090048628
164,1.6450898241550647,17.369228989916547,0.0,0.0,18.445879090048628
165,2.5949327780232085,17.369228989916547,0.0,0.0,19.023259692567393
166,2.9977972794498906,17.369228989916547,0.0,0.0,19.023259692567393
167,2.4832915637282564,18.87874629849494,0.0,0.0,19.023259692567393
168,1.5244498131281012,18.87874629849494,0.0,0.0,19.610731486071582
169,1.0028267112259202,18.87874629849494,0.0,0.0,18.610731486071582
170,1.3980001323223954,17.87874629849494,0.0,0.0,19.004791014674876
171,2.3466494554970305,17.87874629849494,0.0,0.0,19.68336700421982
